year,month,day ,GHI,hour,temp,dew_point,feels_like,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_description,,
2019,1,1,-7.4567,0,277.38,275.57,276.45,1031,88,1.34,257,27,3,Clouds,scattered clouds
2019,1,1,-6.5033,1,276.09,274.61,276.09,1031,90,1.21,353,12,6,Rain,light rain
2019,1,1,-4.06,2,275.17,273.86,275.17,1031,91,0.45,30,17,2,Clouds,few clouds
2019,1,1,-2.755,3,274.62,273.61,274.62,1031,93,0.45,59,28,3,Clouds,scattered clouds
2019,1,1,-1.4333,4,274.19,273.19,274.19,1031,93,0.89,348,51,10,Snow,light snow
2019,1,1,-1.5617,5,274.02,273.17,274.02,1030,94,0.66,51,34,3,Clouds,scattered clouds
2019,1,1,-2.005,6,273.99,273.14,273.99,1030,94,0.89,50,87,5,Clouds,overcast clouds
2019,1,1,-1.92,7,273.64,272.83,272.22,1030,94,1.34,102,100,5,Clouds,overcast clouds
2019,1,1,-0.45,8,273.51,272.85,273.51,1030,95,0.45,350,100,10,Snow,light snow
2019,1,1,0.0267,9,273.66,272.98,273.66,1030,95,0.82,135,86,5,Clouds,overcast clouds
2019,1,1,-0.0733,10,274.04,273.33,274.04,1031,95,0.45,350,98,5,Clouds,overcast clouds
2019,1,1,0.1817,11,274.22,273.51,274.22,1030,95,0.45,67,95,5,Clouds,overcast clouds
2019,1,1,-0.2683,12,274.47,273.76,274.47,1030,95,0.89,57,82,4,Clouds,broken clouds
2019,1,1,-0.8583,13,274.61,273.9,274.61,1030,95,0.45,44,68,4,Clouds,broken clouds
2019,1,1,-0.43,14,274.61,273.9,274.61,1029,95,0.45,350,78,4,Clouds,broken clouds
2019,1,1,-1.5917,15,274.59,273.88,274.59,1029,95,0.57,167,97,5,Clouds,overcast clouds
2019,1,1,17.96,16,274.48,273.77,274.48,1029,95,0.45,350,99,10,Snow,light snow
2019,1,1,62.5233,17,275.03,274.32,273.79,1030,95,1.34,43,99,5,Clouds,overcast clouds
2019,1,1,135.5517,18,275.61,274.89,275.61,1031,95,0.89,77,94,5,Clouds,overcast clouds
2019,1,1,220.8583,19,276.46,275.59,276.46,1030,94,0.45,67,71,4,Clouds,broken clouds
2019,1,1,254.355,20,277.88,275.9,277.88,1029,87,0.45,83,98,5,Clouds,overcast clouds
2019,1,1,151.145,21,279.11,275.75,279.11,1028,79,0.45,59,99,5,Clouds,overcast clouds
2019,1,1,92.1833,22,279.15,275.79,279.15,1028,79,0.89,101,97,6,Rain,light rain
2019,1,1,43.4667,23,279,275.64,279,1028,79,0.45,266,97,5,Clouds,overcast clouds
2019,1,2,-2.0967,0,278.52,275.87,278.52,1028,83,0.45,322,99,5,Clouds,overcast clouds
2019,1,2,-5.1217,1,277.28,275.31,277.28,1027,87,0.45,267,100,5,Clouds,overcast clouds
2019,1,2,-2.0117,2,276.47,274.99,276.47,1027,90,0.54,351,98,5,Clouds,overcast clouds
2019,1,2,-2.98,3,276.21,274.89,276.21,1027,91,0.09,295,82,6,Rain,light rain
2019,1,2,-4.3617,4,275.71,274.39,275.71,1027,91,0.45,267,53,4,Clouds,broken clouds
2019,1,2,-2.9667,5,275.07,274.06,273.83,1026,93,1.34,55,54,4,Clouds,broken clouds
2019,1,2,-1.6683,6,274.68,273.82,274.68,1025,94,0.89,61,67,4,Clouds,broken clouds
2019,1,2,-1.7317,7,274.01,273.16,274.01,1025,94,0.45,336,68,10,Snow,light snow
2019,1,2,-1.1433,8,273.88,273.17,273.88,1025,95,0.93,154,74,4,Clouds,broken clouds
2019,1,2,-2.2383,9,273.96,273.25,273.96,1025,95,0.89,55,99,5,Clouds,overcast clouds
2019,1,2,-1.9417,10,273.96,273.25,273.96,1025,95,0.45,111,100,5,Clouds,overcast clouds
2019,1,2,0.6233,11,273.49,272.83,271.36,1024,95,1.79,101,100,5,Clouds,overcast clouds
2019,1,2,1.3467,12,274.01,273.3,274.01,1023,95,0.89,80,100,5,Clouds,overcast clouds
2019,1,2,0.365,13,274.37,273.66,271.84,1022,95,2.24,145,100,5,Clouds,overcast clouds
2019,1,2,0.0183,14,274.8,274.09,274.8,1022,95,0.45,123,100,10,Snow,light snow
2019,1,2,-0.2267,15,275.08,274.22,275.08,1022,94,0.45,172,98,5,Clouds,overcast clouds
2019,1,2,21.73,16,275.34,274.48,275.34,1022,94,0.45,171,99,10,Snow,light snow
2019,1,2,86.37,17,275.69,274.67,275.69,1021,93,0.45,195,97,5,Clouds,overcast clouds
2019,1,2,104.4117,18,276.69,275.36,276.69,1021,91,0.89,130,100,5,Clouds,overcast clouds
2019,1,2,101.5267,19,277.8,275.83,276.92,1020,87,1.34,193,100,6,Rain,light rain
2019,1,2,65.49,20,278.98,275.62,277.26,1019,79,2.24,188,98,6,Rain,light rain
2019,1,2,44.96,21,279.37,275.27,279.37,1019,75,0.89,166,100,5,Clouds,overcast clouds
2019,1,2,40.54,22,279.59,275.3,278.41,1018,74,1.79,197,100,5,Clouds,overcast clouds
2019,1,2,10.3267,23,279.66,275.18,277.7,1017,73,2.68,159,100,5,Clouds,overcast clouds
2019,1,3,1.5383,0,279.91,275.03,278.78,1017,71,1.79,163,100,5,Clouds,overcast clouds
2019,1,3,0.1883,1,280.22,275.33,279.66,1017,71,1.34,182,100,5,Clouds,overcast clouds
2019,1,3,0.8683,2,280.56,275.65,280.04,1017,71,1.34,154,100,6,Rain,light rain
2019,1,3,0.4383,3,281.05,275.72,280.09,1017,69,1.79,187,100,5,Clouds,overcast clouds
2019,1,3,-0.0733,4,281.4,276.26,280.5,1016,70,1.79,170,100,5,Clouds,overcast clouds
2019,1,3,-0.29,5,281.29,276.94,279.64,1016,74,2.68,190,100,6,Rain,light rain
2019,1,3,-2.27,6,281.18,277.94,279.84,1015,80,2.24,182,100,5,Clouds,overcast clouds
2019,1,3,-2.5767,7,280.49,278.14,279.96,1014,85,1.34,191,100,5,Clouds,overcast clouds
2019,1,3,-1.4467,8,279.51,278.15,278.85,1014,91,1.34,228,100,6,Rain,light rain
2019,1,3,-0.3833,9,279.11,278.07,279.11,1013,93,0.45,251,100,6,Rain,light rain
2019,1,3,-0.315,10,279.09,278.2,279.09,1013,94,0.89,215,100,6,Rain,light rain
2019,1,3,0.335,11,279.04,278.15,278.32,1013,94,1.34,264,100,6,Rain,light rain
2019,1,3,0.37,12,279.21,278.47,277.97,1012,95,1.79,196,100,6,Rain,light rain
